Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,length,completeness,contamination,Secondary_sample_accession,MAG_source,Study,Oral_site,Age_BP,Country,Continent,Industrialization,sample_host,Sample,primary_cluster,log_age
NODE_97_length_14909_cov_109.5,NODE_97_length_14909_cov_109.5@1,6019,6495,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[7],['9.60e-07'],[0.403],[0.307],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_88_length_16164_cov_109.7,NODE_88_length_16164_cov_109.7@1,1015,4185,False,0%,"",III-A,1,"['Csa3_1_CAS-I-II-III-IV-V-VI', 'TPR_0_CAS-III-A', 'CasR_1_CAS-I-II-III-IV-V-VI']","[2, 3, 5]","['2.80e-11', '6.70e-109', '8.30e-08']","[0.341, 0.992, 0.787]","[0.686, 0.917, 0.33]",,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_25_length_31850_cov_108.6,NODE_25_length_31850_cov_108.6@1,25928,26869,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[27],['1.40e-05'],[0.436],[0.458],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_131_length_11125_cov_115.3,NODE_131_length_11125_cov_115.3@1,4779,6053,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[6],['5.70e-14'],[0.605],[0.734],-1,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_9_length_50640_cov_107.9,NODE_9_length_50640_cov_107.9@1,7128,7811,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[6],['4.80e-08'],[0.601],[0.454],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_253_length_6079_cov_105.3,NODE_253_length_6079_cov_105.3@1,925,1851,False,0%,"",IV-B,3,['CysH_0_IVB'],[3],['1.50e-05'],[0.498],[0.61],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_148_length_9969_cov_106.2,NODE_148_length_9969_cov_106.2@1,2264,3025,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[4],['2.10e-05'],[0.429],[0.359],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_35_length_28180_cov_112.4,NODE_35_length_28180_cov_112.4@1,4607,5575,False,0%,"",III-B,1,['htpX_0_CAS-III-B'],[4],['2.10e-10'],[0.52],[0.528],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_95_length_15427_cov_98.7,NODE_95_length_15427_cov_98.7@1,3133,3936,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[6],['2.80e-07'],[0.351],[0.317],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_19_length_35415_cov_108.7,NODE_19_length_35415_cov_108.7@1,14170,15390,False,0%,33%,I-A,1,['Cas4_0_I-II'],[14],['4.40e-06'],[0.312],[0.706],,-1,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_64_length_20786_cov_104.5,NODE_64_length_20786_cov_104.5@1,16377,17387,False,0%,"",IV-B,3,['CysH_0_IVB'],[17],['2.70e-04'],[0.433],[0.59],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_112_length_12790_cov_128.0,NODE_112_length_12790_cov_128.0@1,949,1350,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['3.80e-06'],[0.56],[0.61],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_51_length_22443_cov_106.8,NODE_51_length_22443_cov_106.8@1,19765,20229,False,0%,0%,I-C,1,['HEAT_CxxC_PDDEXK_0_CAS-I-C'],[23],['2.70e-06'],[0.684],[0.396],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_48_length_23125_cov_112.5,NODE_48_length_23125_cov_112.5@1,8490,9293,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[8],['1.60e-04'],[0.496],[0.695],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_27_length_31216_cov_104.6,NODE_27_length_31216_cov_104.6@1,17045,17752,False,0%,33%,I-A,1,['Cas4_0_I-II'],[22],['6.80e-17'],[0.771],[0.978],,-1,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_338_length_4531_cov_251.2,NODE_338_length_4531_cov_251.2@1,3879,4196,False,0%,33%,I-A,2,['Cas4_0_CAS-I-II-III-IV-V-VI'],[8],['1.10e-06'],[0.934],[0.536],,1,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_59_length_21479_cov_109.0,NODE_59_length_21479_cov_109.0@1,10121,10705,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[11],['3.70e-18'],[0.697],[0.838],,,ERS6205392.bin.r.3,putative,2030388,98,0.8,ERS6205392,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205392-megahit_003,24,
NODE_23_length_36374_cov_89.7,NODE_23_length_36374_cov_89.7@1,3681,7664,False,0%,"",III-B,3,"['AbiEii_0_CAS-III', 'Cmr7_0_IIIB']","[3, 7]","['8.40e-08', '4.80e-03']","[0.474, 0.832]","[0.546, 0.461]",,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_1_length_114610_cov_84.9,NODE_1_length_114610_cov_84.9@1,108565,109356,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[130],['8.80e-06'],[0.311],[0.394],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_53_length_26139_cov_85.3,NODE_53_length_26139_cov_85.3@1,14855,19171,False,0%,"",III-A,1,"['Csa3_1_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']","[16, 20]","['3.80e-06', '2.10e-05']","[0.56, 0.429]","[0.61, 0.359]",,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_72_length_20955_cov_85.9,NODE_72_length_20955_cov_85.9@1,13536,14582,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[18],['1.30e-06'],[0.341],[0.825],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_21_length_37682_cov_87.7,NODE_21_length_37682_cov_87.7@1,15461,16471,False,0%,"",IV-B,3,['CysH_0_IVB'],[9],['2.50e-04'],[0.481],[0.675],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_67_length_22247_cov_98.9,NODE_67_length_22247_cov_98.9@1,19163,20155,False,0%,0%,I-A,0,['CasR_0_CAS-I-II-III-IV-V-VI'],[12],['5.80e-03'],[0.314],[0.515],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_66_length_22298_cov_85.8,NODE_66_length_22298_cov_85.8@1,2072,2536,False,0%,0%,I-C,1,['HEAT_CxxC_PDDEXK_0_CAS-I-C'],[4],['2.70e-06'],[0.684],[0.396],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_48_length_27698_cov_86.8,NODE_48_length_27698_cov_86.8@1,19812,20510,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[28],['3.10e-06'],[0.579],[0.451],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_58_length_24728_cov_94.1,NODE_58_length_24728_cov_94.1@1,16280,16963,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[13],['7.40e-08'],[0.601],[0.454],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_87_length_18213_cov_85.3,NODE_87_length_18213_cov_85.3@1,12289,13230,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[13],['1.40e-05'],[0.436],[0.458],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_46_length_28874_cov_89.9,NODE_46_length_28874_cov_89.9@1,16446,16736,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[17],['1.60e-04'],[0.742],[0.321],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_104_length_15885_cov_85.4,NODE_104_length_15885_cov_85.4@1,4203,4748,False,17%,"",III-D,3,['Csx19_5_CAS-III-D'],[6],['1.90e-03'],[0.308],[0.348],1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_23_length_36374_cov_89.7,NODE_23_length_36374_cov_89.7@2,17484,17768,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[17],['1.50e-06'],[0.684],[0.303],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_50_length_27527_cov_87.0,NODE_50_length_27527_cov_87.0@1,19089,20825,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[8],['5.80e-08'],[0.345],[0.5],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_35_length_32165_cov_87.9,NODE_35_length_32165_cov_87.9@2,22450,22842,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[22],['1.30e-19'],[0.656],[0.78],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_412_length_4528_cov_146.8,NODE_412_length_4528_cov_146.8@1,3876,4193,False,0%,33%,I-A,2,['Cas4_0_CAS-I-II-III-IV-V-VI'],[7],['1.10e-06'],[0.934],[0.536],,1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_159_length_10585_cov_88.6,NODE_159_length_10585_cov_88.6@1,9483,9743,False,0%,0%,I-A,0,['CasR_0_CAS-I-II-III-IV-V-VI'],[13],['1.40e-05'],[0.759],[0.323],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_2_length_102021_cov_86.0,NODE_2_length_102021_cov_86.0@2,85158,86747,False,0%,"",III-A,1,"['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']","[90, 91]","['2.90e-04', '1.80e-03']","[0.404, 0.609]","[0.444, 0.408]",,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_168_length_10049_cov_90.5,NODE_168_length_10049_cov_90.5@1,5244,7073,False,20%,"",IV-A1,2,['Csf4_0_IVA'],[6],['3.30e-14'],[0.549],[0.548],1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_2_length_102021_cov_86.0,NODE_2_length_102021_cov_86.0@1,28578,29054,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[29],['9.50e-07'],[0.403],[0.307],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_49_length_27616_cov_88.4,NODE_49_length_27616_cov_88.4@1,8500,9303,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[8],['1.30e-04'],[0.496],[0.695],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_19_length_40382_cov_86.0,NODE_19_length_40382_cov_86.0@1,14164,15384,False,0%,33%,I-A,1,['Cas4_0_I-II'],[14],['3.20e-06'],[0.322],[0.739],,-1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_114_length_14146_cov_89.6,NODE_114_length_14146_cov_89.6@1,3227,4024,False,0%,33%,I-A,1,['Cas4_0_I-II'],[4],['8.10e-22'],[0.703],[0.989],,1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_25_length_36060_cov_85.0,NODE_25_length_36060_cov_85.0@1,16980,17687,False,0%,33%,I-A,1,['Cas4_0_I-II'],[23],['6.50e-17'],[0.771],[0.978],,-1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_218_length_7801_cov_89.3,NODE_218_length_7801_cov_89.3@1,5855,6109,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[9],['1.60e-04'],[0.671],[0.5],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_2_length_102021_cov_86.0,NODE_2_length_102021_cov_86.0@3,91835,92101,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[99],['2.20e-04'],[0.787],[0.312],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_29_length_33839_cov_88.6,NODE_29_length_33839_cov_88.6@1,12533,15130,False,14%,0%,I-A,1,['Cas3_0_I'],[16],['3.70e-17'],[0.394],[0.925],1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_20_length_39766_cov_85.0,NODE_20_length_39766_cov_85.0@2,22829,23656,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[22],['1.00e-06'],[0.402],[0.37],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_259_length_6479_cov_89.7,NODE_259_length_6479_cov_89.7@1,225,1497,False,0%,67%,I-A,3,"['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_0_I-II-III']","[1, 2]","['8.90e-76', '5.20e-16']","[0.852, 0.924]","[0.989, 0.927]",,-1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_35_length_32165_cov_87.9,NODE_35_length_32165_cov_87.9@1,11329,13549,False,0%,"",III-A,1,"['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']","[13, 14]","['3.60e-05', '3.00e-06']","[0.378, 0.494]","[0.472, 0.384]",,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_44_length_29969_cov_88.4,NODE_44_length_29969_cov_88.4@1,19864,20298,False,17%,"",III-B,2,['Cmr6gr7_3_CAS-III-B-III-C'],[19],['6.90e-03'],[0.614],[0.352],-1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_190_length_8857_cov_97.7,NODE_190_length_8857_cov_97.7@1,941,2662,False,20%,"",IV-A1,2,['Csf4_0_IVA'],[3],['5.10e-11'],[0.474],[0.455],1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_284_length_6079_cov_84.6,NODE_284_length_6079_cov_84.6@1,925,1851,False,0%,"",IV-B,3,['CysH_0_IVB'],[3],['1.50e-05'],[0.498],[0.61],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_77_length_19376_cov_88.2,NODE_77_length_19376_cov_88.2@1,7530,7946,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[8],['3.20e-08'],[0.525],[0.33],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_15_length_43694_cov_94.2,NODE_15_length_43694_cov_94.2@1,24612,25196,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[27],['3.50e-18'],[0.697],[0.838],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_4_length_82017_cov_89.1,NODE_4_length_82017_cov_89.1@1,17657,18625,False,0%,"",III-B,1,['htpX_0_CAS-III-B'],[16],['2.10e-10'],[0.52],[0.528],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_91_length_17562_cov_85.8,NODE_91_length_17562_cov_85.8@1,1392,1856,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[2],['2.60e-05'],[0.684],[0.477],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_30_length_33678_cov_91.3,NODE_30_length_33678_cov_91.3@1,12465,13982,False,0%,"",III-A,1,['RT_0_CAS-III-AM-III-B'],[20],['3.00e-56'],[0.532],[0.903],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_276_length_6198_cov_84.0,NODE_276_length_6198_cov_84.0@1,251,1525,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['1.20e-13'],[0.605],[0.734],1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_83_length_18783_cov_86.0,NODE_83_length_18783_cov_86.0@1,9180,17903,False,20%,"",IV-A1,2,"['Csf4_0_IVA', 'CasR_1_CAS-I-II-III-IV-V-VI', 'TPR_0_CAS-III-A', 'Csa3_1_CAS-I-II-III-IV-V-VI']","[9, 13, 15, 16]","['3.40e-11', '7.40e-08', '4.20e-108', '2.00e-11']","[0.467, 0.787, 0.992, 0.349]","[0.405, 0.33, 0.917, 0.703]",-1,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_34_length_32187_cov_91.1,NODE_34_length_32187_cov_91.1@1,23303,23878,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[25],['7.60e-07'],[0.385],[0.644],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_124_length_12962_cov_86.0,NODE_124_length_12962_cov_86.0@1,9027,9830,False,0%,33%,II-A,3,['Csn2_7_CAS-II-A'],[7],['4.60e-06'],[0.489],[0.358],,1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_20_length_39766_cov_85.0,NODE_20_length_39766_cov_85.0@1,9,1709,False,0%,33%,II-A,3,['Csn2_7_CAS-II-A'],[1],['3.30e-06'],[0.33],[0.323],,-1,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_38_length_31950_cov_86.7,NODE_38_length_31950_cov_86.7@1,30781,31620,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[37],['1.80e-08'],[0.4],[0.38],,,ERS6205394.bin.r.3,putative,2078230,99.2,0,ERS6205394,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205394-megahit_003,24,
NODE_238_length_15248_cov_73.8,NODE_238_length_15248_cov_73.8@1,1854,2399,False,17%,"",III-D,3,['Csx19_5_CAS-III-D'],[2],['1.80e-03'],[0.308],[0.348],-1,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
NODE_8_length_92518_cov_75.8,NODE_8_length_92518_cov_75.8@2,50566,51150,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[58],['3.40e-18'],[0.697],[0.838],,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
NODE_121_length_24408_cov_73.4,NODE_121_length_24408_cov_73.4@1,19220,20956,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[9],['5.60e-08'],[0.34],[0.504],,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
NODE_365_length_11616_cov_73.8,NODE_365_length_11616_cov_73.8@1,5688,5942,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[7],['1.60e-04'],[0.671],[0.5],,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
NODE_37_length_46368_cov_74.1,NODE_37_length_46368_cov_74.1@1,5492,6295,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[4],['1.50e-04'],[0.496],[0.695],,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
NODE_25_length_52838_cov_77.0,NODE_25_length_52838_cov_77.0@1,4608,5564,False,0%,"",III-B,1,['htpX_0_CAS-III-B'],[4],['2.90e-10'],[0.495],[0.49],,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
NODE_1_length_128469_cov_78.4,NODE_1_length_128469_cov_78.4@3,85313,85789,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[91],['9.30e-07'],[0.403],[0.307],,,ERS6205395.bin.r.5,putative,2027058,99.2,0,ERS6205395,Ancient,Granehall2021,anc_calculus,1300,Italy,Europe,Ancient,Homo sapiens,ERS6205395-megahit_005,24,
