genome	accession	reference	gtdb_taxonomy	gtdb_genus	gtdb_species	ncbi_taxonomy	checkm2_completeness	checkm2_contamination	Host	Bin	Age_BP	Country	Continent	Industrialization	primary_cluster
GCA_963666025.1_piHetPala1.Methanobacterium_sp_2.1_genomic	GCA_963666025.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp963666025	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.81	0.41	reference genome						
GCF_028890305.1_ASM2889030v1_genomic	GCF_028890305.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera massiliense	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Candidatus Methanosphaera massiliense	99.88	0.23	reference genome						
GCF_034331145.1_ASM3433114v1_genomic	GCF_034331145.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp016217785	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	97.43	0.42	reference genome						
GCA_000309865.1_MMad_1.0_genomic	GCA_000309865.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp000309865	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	97.52	0.13	reference genome						
GCA_036787415.1_ASM3678741v1_genomic	GCA_036787415.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp029556335	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	99.14	0.27	reference genome						
GCA_027318585.1_ASM2731858v1_genomic	GCA_027318585.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp027318585	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	96.88	0	reference genome						
GCA_964508435.1_binchicken_co22_99_genomic	GCA_964508435.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp964508435	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	89.77	1.36	reference genome						
GCA_039679285.1_ASM3967928v1_genomic	GCA_039679285.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp039679285	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	87.55	0	reference genome						
GCF_030323845.1_ASM3032384v1_genomic	GCF_030323845.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium aridiramus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium aridiramus	99.7	0.12	reference genome						
GCA_036677945.1_ASM3667794v1_genomic	GCA_036677945.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp030693105	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__;g__;s__	93.05	0	reference genome						
GCA_035319165.1_ASM3531916v1_genomic	GCA_035319165.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp035319165	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	93.82	0.05	reference genome						
GCA_016874685.1_JGI_2017-08-21_genomic	GCA_016874685.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	VGTM01	VGTM01 sp016874685	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	96.7	0.12	reference genome						
GCA_015062815.1_ASM1506281v1_genomic	GCA_015062815.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae_B	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera stadtmanae	87.77	0.05	reference genome						
GCF_027110435.1_ASM2711043v1_genomic	GCF_027110435.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D veterum	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium veterum	100	2.59	reference genome						
GCF_001729285.1_ASM172928v1_genomic	GCF_001729285.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D bryantii	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.99	2.9	reference genome						
GCF_038562635.1_ASM3856263v1_genomic	GCF_038562635.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp038562635	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.97	3.44	reference genome						
GCA_002509665.1_ASM250966v1_genomic	GCA_002509665.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp002509665	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	80.1	2.58	reference genome						
GCA_023409695.1_ASM2340969v1_genomic	GCA_023409695.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp023409695	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	91.28	0.67	reference genome						
GCF_049723875.1_ASM4972387v1_genomic	GCF_049723875.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp049723875	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	97.86	3.18	reference genome						
GCA_023436175.1_ASM2343617v1_genomic	GCA_023436175.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp023436175	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	92.33	5.66	reference genome						
GCA_023411115.1_ASM2341111v1_genomic	GCA_023411115.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp023411115	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	99.33	1.56	reference genome						
GCA_002505765.1_ASM250576v1_genomic	GCA_002505765.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp002505765	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.69	0.05	reference genome						
GCA_002494885.1_ASM249488v1_genomic	GCA_002494885.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp002494885	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.94	0.29	reference genome						
GCA_030539615.1_ASM3053961v1_genomic	GCA_030539615.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp030539615	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	94.02	0.02	reference genome						
GCA_030017655.1_ASM3001765v1_genomic	GCA_030017655.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp030017655	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	95.67	0.81	reference genome						
GCA_963785285.1_MFD03899.bin.1.103_genomic	GCA_963785285.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp963785285	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	95.41	0.71	reference genome						
GCF_050433505.1_ASM5043350v1_genomic	GCF_050433505.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D oryzae	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium oryzae	99.99	0.51	reference genome						
GCF_016222945.1_ASM1622294v1_genomic	GCF_016222945.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp016222945	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	96.09	0.16	reference genome						
GCF_047495555.1_ASM4749555v1_genomic	GCF_047495555.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp040373355	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.53	0.74	reference genome						
GCA_049706655.1_ASM4970665v1_genomic	GCA_049706655.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp049706655	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	88.99	1.13	reference genome						
GCA_023434825.1_ASM2343482v1_genomic	GCA_023434825.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp023434825	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	93.79	1.64	reference genome						
GCA_035319465.1_ASM3531946v1_genomic	GCA_035319465.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp035319465	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	75.66	4.2	reference genome						
GCA_039666455.1_ASM3966645v1_genomic	GCA_039666455.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp039666455	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	98.38	0.27	reference genome						
GCA_039666435.1_ASM3966643v1_genomic	GCA_039666435.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp039666535	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	90.59	0.17	reference genome						
GCA_009777005.1_ASM977700v1_genomic	GCA_009777005.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanorudis	Methanorudis sp009777005	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	87.49	0.97	reference genome						
GCA_963787255.1_MFD02809.bin.1.56_genomic	GCA_963787255.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp963787255	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	95.05	4.57	reference genome						
GCA_963718335.1_MFD00032.bin.1.54_genomic	GCA_963718335.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_D	Methanobacterium_D sp963718335	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	96.5	1.71	reference genome						
GCA_963785515.1_MFD01112.bin.1.15_genomic	GCA_963785515.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp963785515	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	98.99	0.91	reference genome						
GCA_049516135.1_ASM4951613v1_genomic	GCA_049516135.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp015661405	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	95.63	0.25	reference genome						
GCA_963707035.1_MFD00082.bin.1.130_genomic	GCA_963707035.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp963707035	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	97.6	4.55	reference genome						
GCA_003166335.1_20110700_S2D_genomic	GCA_003166335.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp003166335	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.43	0.15	reference genome						
GCA_963739415.1_MFD02138.bin.1.8_genomic	GCA_963739415.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp963739415	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	99.74	0.65	reference genome						
GCA_003161815.1_20100900_E3D_genomic	GCA_003161815.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp003161815	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	67.61	0.48	reference genome						
GCA_963719565.1_MFD03323.bin.1.25_genomic	GCA_963719565.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp963719565	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	96.27	2.38	reference genome						
GCA_003491285.1_ASM349128v1_genomic	GCA_003491285.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA117	UBA117 sp002494785	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.87	0.13	reference genome						
GCA_031286225.1_ASM3128622v1_genomic	GCA_031286225.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanorudis	Methanorudis spinitermitis	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Candidatus Methanorudis;s__Candidatus Methanorudis spinitermitis	93.91	0.04	reference genome						
GCA_049975245.1_ASM4997524v1_genomic	GCA_049975245.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA117	UBA117 sp049975245	d__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	99.83	0.15	reference genome						
GCA_030016715.1_ASM3001671v1_genomic	GCA_030016715.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA117	UBA117 sp030016715	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	91.72	0.37	reference genome						
GCA_964559295.1_binchicken_co193_104_genomic	GCA_964559295.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	CAZLGO01	CAZLGO01 sp964559295	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	94.24	0.2	reference genome						
GCA_019084405.1_ASM1908440v1_genomic	GCA_019084405.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_F	Methanobacterium_F sp019084405	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	97.43	0.11	reference genome						
GCF_018141185.1_ASM1814118v1_genomic	GCF_018141185.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_F	Methanobacterium_F alkalithermotolerans	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium alkalithermotolerans	99.92	0.03	reference genome						
GCA_947259185.1_ERZ12284522_genomic	GCA_947259185.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_F	Methanobacterium_F sp947259185	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	87.54	0.2	reference genome						
GCA_003558085.1_ASM355808v1_genomic	GCA_003558085.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_F	Methanobacterium_F sp003558085	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	95.87	0.73	reference genome						
GCF_017874455.1_ASM1787445v1_genomic	GCF_017874455.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_C	Methanobacterium_C aggregans	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium aggregans	99.79	0.22	reference genome						
GCF_900095295.1_MCBB_genomic	GCF_900095295.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_C	Methanobacterium_C congolense	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium congolense	99.95	0.13	reference genome						
GCA_002495365.1_ASM249536v1_genomic	GCA_002495365.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_C	Methanobacterium_C sp002498385	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.96	0.01	reference genome						
GCA_009776495.1_ASM977649v1_genomic	GCA_009776495.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanorudis	Methanorudis sp009776495	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	68.67	2.88	reference genome						
GCA_963845285.1_MFD01299.bin.2.199_genomic	GCA_963845285.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_C	Methanobacterium_C sp963845285	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	86.33	3.12	reference genome						
GCF_000214725.1_ASM21472v1_genomic	GCF_000214725.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_C	Methanobacterium_C paludis	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium paludis	99.94	0.3	reference genome						
GCA_023430285.1_ASM2343028v1_genomic	GCA_023430285.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp023430285	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	82.57	0.98	reference genome						
GCF_000191585.1_ASM19158v1_genomic	GCF_000191585.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B lacus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium lacus	99.88	0.22	reference genome						
GCA_024167805.1_ASM2416780v1_genomic	GCA_024167805.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp024167805	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	93.94	2.16	reference genome						
GCA_963703015.1_MFD04716.bin.c.1_genomic	GCA_963703015.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963703015	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	99.91	0.74	reference genome						
GCA_009712615.1_ASM971261v1_genomic	GCA_009712615.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp009712615	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	92.05	0.24	reference genome						
GCA_963704525.1_MFD02416.bin.1.248_genomic	GCA_963704525.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963704525	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	95.64	0.24	reference genome						
GCA_963788665.1_MFD08203.bin.3.40_genomic	GCA_963788665.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963788665	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	55.74	1.08	reference genome						
GCA_963825335.1_MFD05512.bin.1.236_genomic	GCA_963825335.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963825335	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	99.17	0.43	reference genome						
GCA_031272765.1_ASM3127276v1_genomic	GCA_031272765.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanovirga	Methanovirga australis	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Candidatus Methanovirga;s__Candidatus Methanovirga australis	93.51	1.84	reference genome						
GCA_963704695.1_MFD09286.bin.c.5_genomic	GCA_963704695.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963704695	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	97.11	0.33	reference genome						
GCA_963765255.1_MFD06435.bin.2.182_genomic	GCA_963765255.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963765255	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	71.62	0	reference genome						
GCA_963776515.1_MFD06435.bin.4.368_genomic	GCA_963776515.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp963776515	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	69.47	0	reference genome						
GCF_049697495.1_ASM4969749v1_genomic	GCF_049697495.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp049688275	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	94.24	0.25	reference genome						
GCA_003158115.1_20120600_S2D_genomic	GCA_003158115.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp003158115	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	93.67	0.13	reference genome						
GCA_003164415.1_20120700_S1D_genomic	GCA_003164415.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_B	Methanobacterium_B sp003164415	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	76.66	1.27	reference genome						
